date,horas_sueno,calorias,fuerza,cardio_min,pasos,peso,estres,alcohol,mood_score
2025-07-15,7.54,2044,0,21,7443,74.0,1,0,5.84
2025-07-16,6.47,2228,1,-,5733,74.08,1,0,6.87
2025-07-17,7.9,2658,0,11,14574,74.11,-,0,2.91
2025-07-18,8.05,1987,1,12,5625,73.93,3,0,4.98
2025-07-19,5.74,2681,1,17,4948,73.98,3,0,4.02
2025-07-20,6.26,1934,0,12,14297,73.92,-,0,5.86
2025-07-21,7.4,2027,1,25,10105,74.05,3,0,5.48
2025-07-22,7.05,2563,1,11,8816,73.84,4,0,5.98
2025-07-23,7.29,2831,0,15,12112,73.77,1,0,4.61
2025-07-24,6.62,2021,0,13,8216,73.83,5,0,2.79
2025-07-25,8.0,2189,1,6,5407,73.9,3,0,6.58
2025-07-26,7.92,3002,1,24,12026,73.95,1,1,6.74
2025-07-27,7.35,3086,0,8,5935,73.93,5,1,4.92
2025-07-28,8.2,2555,0,10,10082,74.28,4,0,4.08
2025-07-29,7.67,2381,0,27,14439,74.18,1,1,6.37
2025-07-30,6.66,2439,1,17,14213,74.17,2,0,6.34
2025-07-31,7.19,2340,0,12,7487,74.11,5,1,4.74
2025-08-01,7.86,2407,0,22,5791,74.0,2,0,5.83
2025-08-02,7.38,2330,0,8,14357,1,0,5.83
2025-08-03,7.26,1829,0,16,9273,73.3,4,0,3.28
2025-08-04,7.54,2153,0,18,9503,73.28,1,0,5.92
2025-08-05,7.55,3008,0,7,14525,73.35,1,0,7.15
2025-08-06,7.5,2724,0,21,9607,73.36,1,0,4.88
2025-08-07,7.88,2165,0,20,8171,73.26,3,0,5.01
2025-08-08,7.35,2063,0,13,5631,73.31,-,0,5.19
2025-08-09,6.7,1905,0,25,6353,73.34,5,0,2.88
2025-08-10,7.67,2730,1,8,9539,73.3,3,0,6.2
2025-08-11,7.26,2152,0,10,12064,73.44,3,0,4.33
2025-08-12,7.04,2034,1,-,13837,73.4,1,0,5.93
2025-08-13,6.04,2159,0,15,10853,73.53,1,0,4.15
2025-08-14,7.35,2768,1,30,14718,73.46,-,0,6.85
2025-08-15,8.37,2968,0,32,7894,73.34,3,0,5.36
2025-08-16,8.34,2239,0,29,9805,73.28,2,0,7.13
2025-08-17,6.87,2341,1,15,8016,73.21,4,0,6.57
2025-08-18,5.87,2167,1,16,8582,73.35,2,0,4.94
2025-08-19,7.23,2037,1,19,8877,73.41,1,0,6.24
2025-08-20,6.41,2826,0,14,14198,73.46,3,0,3.74
2025-08-21,7.42,2547,0,7,14420,73.5,3,1,4.11
2025-08-22,6.62,2314,0,21,9478,73.53,4,0,3.86
2025-08-23,7.68,2066,1,16,11328,73.46,4,1,5.67
2025-08-24,8.29,2977,0,23,14502,73.32,1,0,5.58
2025-08-25,8.63,2101,0,20,9134,73.41,3,0,4.16
2025-08-26,6.14,2690,0,19,10466,73.54,1,0,3.54
2025-08-27,7.94,3054,0,19,7471,73.64,2,0,4.86
2025-08-28,6.34,1893,0,20,14676,73.67,2,0,4.2
2025-08-29,7.76,2558,0,17,6481,73.6,4,1,5.92
2025-08-30,6.87,2601,0,15,13670,73.64,2,0,4.25
2025-08-31,7.3,2129,0,21,10344,73.58,5,0,6.33
2025-09-01,7.03,2410,0,14,14089,73.55,5,0,3.59
2025-09-02,6.81,2288,1,7,8452,73.62,4,1,5.18
2025-09-03,6.87,2115,1,13,7048,73.55,3,0,5.77
2025-09-04,7.38,2886,1,13,10610,73.5,3,1,6.23
2025-09-05,7.36,2061,0,11,4431,73.41,2,0,4.43
2025-09-06,6.17,2400,0,26,6369,73.37,3,0,3.32
2025-09-07,7.82,2547,0,26,8011,73.48,2,0,6.15
2025-09-08,6.12,2849,0,22,8945,73.48,3,0,3.29
2025-09-09,6.15,2028,0,9,14889,73.57,4,0,3.47
2025-09-10,7.38,1948,1,27,6341,73.6,3,0,6.03
2025-09-11,6.64,2278,0,31,11184,73.55,3,0,3.17
2025-09-12,7.63,2325,0,8,6526,73.61,4,0,3.96
2025-09-13,7.42,2459,1,16,10614,73.59,1,0,6.16
2025-09-14,7.88,2387,1,15,7023,73.49,5,0,7.26
2025-09-15,6.33,2533,1,31,4481,73.46,2,0,5.4
2025-09-16,6.46,1865,0,9,14148,73.47,-,0,3.77
2025-09-17,7.12,3091,0,24,8877,73.55,4,0,5.69
2025-09-18,8.11,2734,0,23,8072,73.49,3,0,6.8
2025-09-19,6.81,2884,1,12,9556,73.51,1,0,6.54
2025-09-20,5.71,1893,0,17,13467,73.59,2,0,3.41
2025-09-21,7.78,2589,0,21,10058,73.52,5,0,7.06
2025-09-22,7.32,2294,0,9,8843,73.58,3,0,3.99
2025-09-23,7.24,2520,1,10,14073,73.55,3,0,4.86
2025-09-24,6.52,2350,0,23,6307,73.55,5,0,3.04
2025-09-25,6.45,2409,0,28,12223,73.67,4,0,3.79
2025-09-26,7.75,2751,1,21,14206,73.77,4,0,6.12
2025-09-27,7.07,2454,0,17,11780,73.82,3,1,3.87
2025-09-28,7.12,2443,0,14,9786,73.72,4,1,6.41
2025-09-29,7.59,2116,0,20,14289,73.72,5,0,4.17
2025-09-30,7.5,1869,1,14,11536,73.76,5,0,4.58
2025-10-01,6.52,2717,1,23,5100,73.75,2,0,6.22
2025-10-02,7.49,2323,1,15,9868,73.7,5,1,5.11
2025-10-03,7.68,3023,0,27,11206,73.8,5,0,5.81
2025-10-04,7.29,2006,0,14,12938,73.77,5,1,3.85
2025-10-05,6.45,1945,0,22,8123,73.82,5,0,6.24
2025-10-06,6.04,2272,0,9,14232,73.94,4,0,3.2
2025-10-07,7.74,1843,1,30,12916,74.05,5,0,5.5
2025-10-08,7.26,2227,0,14,9159,74.0,4,1,3.96
2025-10-09,6.37,2858,0,21,12881,74.01,5,0,3.53
2025-10-10,7.63,3037,1,21,6417,74.09,3,0,6.36
2025-10-11,6.63,2058,0,9,9321,74.01,1,0,4.14
2025-10-12,7.66,3033,1,17,5643,73.9,5,0,6.83
2025-10-13,7.16,2118,1,17,11475,73.93,1,0,5.22
2025-10-14,6.66,1826,1,13,10962,73.92,1,0,5.95
2025-10-15,7.07,2504,1,23,10591,73.94,4,1,6.36
2025-10-16,7.03,2977,1,17,11153,74.04,3,0,6.47
2025-10-17,7.95,1940,1,19,11207,74.06,4,0,5.96
2025-10-18,7.46,1985,1,27,10162,74.06,1,0,6.49
2025-10-19,7.7,1911,1,24,14582,73.99,4,0,7.18
2025-10-20,6.82,2089,0,30,11269,74.04,3,0,3.83
2025-10-21,6.96,2144,1,10,11177,74.03,3,0,5.58
2025-10-22,7.38,2580,0,13,8546,73.97,3,0,4.78
2025-10-23,7.32,2052,0,14,13358,74.03,5,0,4.08
2025-10-24,6.83,1961,1,-,14205,74.03,4,0,5.08
2025-10-25,6.51,2533,1,11,4759,74.03,5,0,3.03
2025-10-26,6.91,2282,1,28,14404,73.95,5,0,3.79
2025-10-27,8.37,2275,0,21,9977,73.83,4,0,6.55
2025-10-28,6.16,2082,1,27,11239,73.94,3,0,3.47
2025-10-29,7.49,2056,0,23,5538,73.91,1,0,5.6
2025-10-30,7.52,2394,0,18,11042,73.86,2,1,5.73
2025-10-31,7.49,2282,0,30,13200,73.91,1,0,5.33
2025-11-01,7.53,2771,1,27,9068,73.58,3,0,6.39
2025-11-02,7.65,2090,0,7,11360,73.45,3,0,6.09
2025-11-03,7.49,2961,0,23,12810,73.51,4,0,5.42
2025-11-04,6.82,1950,0,25,14650,73.49,3,0,3.82
2025-11-05,6.14,2474,1,11,14205,73.55,4,0,4.34
2025-11-06,7.36,2410,0,25,5322,73.55,4,0,4.18
2025-11-07,6.88,2210,0,-,12493,73.62,2,0,4.52
2025-11-08,7.49,1828,0,28,13307,73.52,2,0,5.38
2025-11-09,7.32,2803,0,26,11679,73.52,4,0,6.81
2025-11-10,8.58,2236,0,22,13017,73.5,-,0,7.06
2025-11-11,7.11,2660,0,9,13217,73.37,3,0,4.43
2025-11-12,6.48,2333,1,27,8912,73.22,1,0,7.93
2025-11-13,7.44,2285,1,12,4441,73.14,3,1,5.94
2025-11-14,7.48,2952,0,18,9018,73.1,3,0,6.72
2025-11-15,8.39,1922,0,11,6219,73.0,4,0,5.21
